id,section,number,type,knowledge_area,source_group,source_collection,source_name,source_question,question,options,correct_labels,answer_text,source_answer_labels,source_answer_text,verification_status,verification_note,reasoning,dmbok_evidence,dmbok_2017_pages,dmbok_revised_pages,dmbok_revised_section,simulator_eligible
chapter-9-q008,Chapter 9,8,multiple-choice,Document and content management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),8,Content management includes the systems for organizing information resources so that they can specially be stored.,A. True | B. False,B,False,B,False,verified,,"The statement is False. The cited DMBOK material defines or describes the concept in a way that does not support the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","Content management includes the processes, techniques, and technologies for organizing, categorizing, and structuring information resources so that they can be stored, published, and reused in multiple ways.",307,291,1.3.1.1 Content Management,True
chapter-9-q009,Chapter 9,9,multiple-choice,Document and content management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),9,"Content needs to be modular, structured, reusable and device and platform independent.",A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","Content needs to be modular, structured, reusable, and device- and platform- independent.",308,292,1.3.1.4 Content Delivery Methods,True
chapter-9-q010,Chapter 9,10,multiple-choice,Document and content management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),10,"A controlled vocabulary is a defined list of explicitly allowed terms used to index, categorize, tag, sort and retrieve content through browsing and searching.",A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","A controlled vocabulary is a defined list of explicitly allowed terms used to index, categorize, tag, sort, and retrieve content through browsing and searching.",309,293,1.3.2 Controlled Vocabularies,True
chapter-9-q011,Chapter 9,11,multi-select,Document and content management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),11,"Taxonomies can have different structures, including:",A. Polyhierarchy | B. Application | C. Facet taxonomy | D. Network taxonomy | E. Flat taxonomy | F. All of the above,A; C; D; E,Polyhierarchy; Facet taxonomy; Network taxonomy; Flat taxonomy,A; C; D; E,Polyhierarchy; Facet taxonomy; Network taxonomy; Flat taxonomy,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.",Taxonomies can have different structures: • A flat taxonomy has no relationships among the set of controlled categories.,312; 313,296,1.3.2.6 Taxonomies,True
chapter-9-q012,Chapter 9,12,multi-select,Document and content management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),12,Well prepared records have characteristics such as:,A. Context | B. Content | C. Compliance | D. Timeliness,A; B; D,Context; Content; Timeliness,A; B; D,Context; Content; Timeliness,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","Well-prepared records have characteristics such as: • Content: Content must be accurate, complete, and truthful.",317,300,1.3.3.2 Records Management,True
chapter-9-q013,Chapter 9,13,multi-select,Document and content management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),13,Information architecture is the process of creating structure for a body of information or content. It includes the following components:,A. Navigation maps | B. User flows | C. Use cases | D. Controlled technologies,A; B; C,Navigation maps; User flows; Use cases,A; B; C,Navigation maps; User flows; Use cases,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.",Information Architecture is the process of creating structure for a body of information or content.,320,303,1.3.6 Information Architecture,True
chapter-9-q014,Chapter 9,14,multi-select,Document and content management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),14,Most document programs have policies related to:,A. Scope and compliance audits | B. Proper destruction of records | C. Proper construction of records | D. Identification and protection of vital records | E. Partition tolerance | F. All of the above,A; B; D,Scope and compliance audits; Proper destruction of records; Identification and protection of vital records,A; B; D,Scope and compliance audits; Proper destruction of records; Identification and protection of vital records,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","Most document management programs have policies related to: • Scope and compliance with audits • Identification and protection of vital records • Purpose and schedule for retaining records (a.k.a retention schedule) • How to respond to information hold orders (special protection orders); these are requirements for retaining information for a lawsuit, even…",324,307,2.1.3 Create Content Handling Policies,True
chapter-9-q015,Chapter 9,15,multi-select,Document and content management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),15,"ANSI standard 859 has three levels of control of data, based on the criticality of the data and the perceived harm that would occur if data were corrupt or otherwise unavailable, including:",A. Basic | B. Formal | C. Informal | D. Custody | E. Revision | F. None of the above,B; D; E,Formal; Custody; Revision,B; D; E,Formal; Custody; Revision,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","ANSI Standard 859 has three levels of control of data, based on the criticality of the data and the perceived harm that would occur if data were corrupted or otherwise unavailable: formal, revision, and custody: • Formal control requires formal change initiation, thorough evaluation for impact, decision by a change authority, and full status accounting of…",326,309,2.2.2 Manage Versioning and Control,True
chapter-9-q016,Chapter 9,16,multiple-choice,Document and content management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),16,A content strategy should end with an inventory of current state and a gap assessment.,A. True | B. False,B,False,B,False,verified,,"The statement is False. The cited DMBOK material defines or describes the concept in a way that does not support the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.",A content strategy should start with an inventory of current state and a gap assessment.,324,307,2.1.2 Develop a Content Strategy,True
chapter-9-q017,Chapter 9,17,multiple-choice,Document and content management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),17,Record management starts with a vague definition of what constitutes a record.,A. True | B. False,B,False,B,False,verified,,"The statement is False. The cited DMBOK material defines or describes the concept in a way that does not support the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.",Records management starts with a clear definition of what constitutes a record.,323,306,2.1.1 Plan for Records Management,True
chapter-9-q018,Chapter 9,18,multi-select,Document and content management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),18,Some document management systems have a module that may support different types of workflows such as:,A. Quality Assurance Testing (QA) | B. Manual workflows that indicate where the user sends the document | C. User Acceptance Testing (UAT) | D. Dynamic rules that allow for different workflows based on content | E. All of the above | F. None of the above,B; D,Manual workflows that indicate where the user sends the document; Dynamic rules that allow for different workflows based on content,B; D,Manual workflows that indicate where the user sends the document; Dynamic rules that allow for different workflows based on content,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","Some document management systems have a module that may support different types of workflows, such as: • Manual workflows that indicate where the user sends the document • Rules-based workflow, where rules are created that dictate the flow of the document within an organization • Dynamic rules that allow for different workflows based on content Document…",331,314,3.1.1 Document Management,True
chapter-9-q019,Chapter 9,19,multiple-choice,Document and content management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),19,"An image processing system captures, transforms and manages images of paper and electronic documents.",A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","An image processing system captures, transforms, and manages images of paper and electronic documents.",331,314,3.1.1.2 Image Processing,True
chapter-9-q020,Chapter 9,20,multiple-choice,Document and content management,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),20,OCR is the abbreviation for Optical Character Recognition.,A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","The capturing capability uses technologies such as scanning, optical and intelligence character recognition, or form processing.",332,314,3.1.1.2 Image Processing,True
chapter-10-q001,Chapter 10,1,multiple-choice,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),1,"Reference and Master data definition: Managing shared data to meet organizational goals, reduce risks associated with data redundancy, ensure higher quality, and reduce the costs of data integration.",A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","Centrally managed Reference Data enables organizations to: • Meet data requirements for multiple initiatives and reduce the risks and costs of data integration through use of consistent Reference Data • Manage the quality of Reference Data While data-driven organizational initiatives focus on transactional data (increasing sales or market share, reducing… The goals of a Reference and Master Data Management program include: • Ensuring the organization has complete, consistent, current, authoritative Master and Reference Data across organizational processes • Enabling Master and Reference Data to be shared across enterprise functions and…",348,331,1.1 Business Drivers,True
chapter-10-q002,Chapter 10,2,multi-select,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),2,The most common drivers for initiating a Master Data Management Program are:,A. Metadata insecurity | B. Managing data quality | C. Reducing risk | D. Managing the costs of data integration | E. Meeting organizational data requirements | F. Reducing latency,B; C; D; E,Managing data quality; Reducing risk; Managing the costs of data integration; Meeting organizational data requirements,B; C; D; E,Managing data quality; Reducing risk; Managing the costs of data integration; Meeting organizational data requirements,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","The most common drivers for initiating a Master Data Management program are: • Meeting organizational data requirements: Multiple areas within an organization need access to the same data sets, with the confidence that the data sets are complete, current, and consistent.",349,331,1.1 Business Drivers,True
chapter-10-q003,Chapter 10,3,multiple-choice,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),3,A goal of reference and master data is to provide an authoritative source of reconciled and quality-assessed master and reference data.,A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","C H A P T E R 10 Reference and Master Data Ensuring the organization has complete, consistent, current, authoritative Master and Reference Data across organizational processes.",348,329; 330,Reference and master data,True
chapter-10-q004,Chapter 10,4,multi-select,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),4,Reference and Master Data Management follow these guiding principles:,A. Quality | B. Stewardship | C. Authority | D. Ownership | E. Exclusivity | F. Inclusivity,A; B; C; D,Quality; Stewardship; Authority; Ownership,A; B; C; D,Quality; Stewardship; Authority; Ownership,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","The goals of a Reference and Master Data Management program include: • Ensuring the organization has complete, consistent, current, authoritative Master and Reference Data across organizational processes • Enabling Master and Reference Data to be shared across enterprise functions and applications • Lowering the cost and reducing the complexity of data… • Quality: Reference and Master Data Management require ongoing Data Quality monitoring and governance.",350,331; 332,1.2 Goals and Principles,True
chapter-10-q005,Chapter 10,5,multi-select,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),5,Master data is an aggregation of:,A. Transaction Structure Data | B. Database Structure Data | C. Reference Data | D. Enterprise Structure Data,A; C; D,Transaction Structure Data; Reference Data; Enterprise Structure Data,A; C; D,Transaction Structure Data; Reference Data; Enterprise Structure Data,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.",Many people understand Master Data to include both transaction structure data and enterprise structure data.,350; 351,332,1.3.1 Differences Between Master and Reference Data,True
chapter-10-q006,Chapter 10,6,multiple-choice,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),6,"Reference data management entails the preventative maintenance of undefined domain values, definitions and the relationship within and across domain values.",A. True | B. False,B,False,B,False,verified,,"The statement is False. The cited DMBOK material defines or describes the concept in a way that does not support the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.",The goal of Reference Data Management is to ensure values are consistent and current across different functions and that the data is accessible to the organization. • Reference Data Management (RDM) entails control over defined domain values and their definitions.,353,333; 334,1.3.2 Reference Data,True
chapter-10-q007,Chapter 10,7,multiple-choice,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),7,SOR stands for:,A. Service of Record | B. System of Record | C. System on Record | D. Service over Record,B,System of Record,B,System of Record,verified,,"The correct option matches the DMBOK definition, relationship, or classification used on the cited page(s). The distractors either omit a required element, add an unsupported qualifier, or describe a neighboring concept rather than the one asked for.","The golden record encompasses all the data in every system of record (SOR) within a particular organization.”59 However, the two parts of this definition bring the concept into question, as data in different systems may not align into ‘a single version of the truth’.",358,339,"1.3.3.2 Trusted Source, Golden Record",True
chapter-10-q008,Chapter 10,8,multiple-choice,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),8,"A System of Reference is an authoritative system where data consumers can obtain reliable data to support transactions and analysis, even if the information did not originate in the system reference.",A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","A System of Reference is an authoritative system where data consumers can obtain reliable data to support transactions and analysis, even if the information did not originate in the system of reference.",358,339,"1.3.3.1 System of Record, System of Reference",True
chapter-10-q009,Chapter 10,9,multiple-choice,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),9,A ‘Golden Record’ means that it is always a 100% complete and accurate representation of all entities within the organization.,A. True | B. False,B,False,B,False,verified,,"The statement is False. The cited DMBOK material defines or describes the concept in a way that does not support the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","Within any Master Data effort, the merging/resolution of data from multiple sources into a ‘Golden Record’ does not mean that it is always a 100% complete and 100% accurate representation of all the entities within the organization (especially in organizations that have multiple SOR’s supplying data to the Master Data environment).",359,339,"1.3.3.2 Trusted Source, Golden Record",True
chapter-10-q010,Chapter 10,10,multiple-choice,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),10,"Master data management includes several basic steps, which include: Develop rules for accurately matching and merging entity instances.",A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","• Develop rules for accurately matching and merging entity instances • Establish an approach to identify and restore inappropriately matched and merged data • Establish an approach to distribute trusted data to systems across the enterprise Executing the process, though, is not as simple as these steps imply, as MDM is a lifecycle management process.",360,341,1.3.3.3 Master Data Management,True
chapter-10-q011,Chapter 10,11,multi-select,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),11,"Through similarity analysis, slight variations in data can be recognized and data values can be consolidated. Two basic approaches, which can be used together, are:",A. Realistic | B. Opportunistic | C. Deterministic | D. Probabilistic | E. Procedural | F. All of the above,C; D,Deterministic; Probabilistic,C; D,Deterministic; Probabilistic,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","Two basic approaches, which can be used together, are deterministic and probabilistic: • Deterministic algorithms, like parsing and standardization, rely on defined patterns and rules for assigning weights and scores for determining similarity.",363,344,1.3.3.4.4 Entity Resolution and Identifier Management,True
chapter-10-q012,Chapter 10,12,multi-select,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),12,Two risks with the Matching process are:,A. False positives | B. False Certainties | C. False Negatives | D. False Uncertainties,A; C,False positives; False Negatives,A; C,False positives; False Negatives,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.",The risks with this process are: • False positives: Two references that do not represent the same entity are linked with a single identifier.,363,343,1.3.3.4.4 Entity Resolution and Identifier Management,True
chapter-10-q013,Chapter 10,13,multi-select,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),13,Consistent input data reduces the chance of errors in associating records. Preparation processes include:,A. Standardization | B. Enrichment | C. Validation | D. Database management,A; B; C,Standardization; Enrichment; Validation,A; B; C,Standardization; Enrichment; Validation,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.",Consistent input data reduces the chance of errors in associating records.,362,342,"1.3.3.4.3 Data Validation, Standardization, and Enrichment",True
chapter-10-q014,Chapter 10,14,multi-select,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),14,"Match rules for different scenarios require different workflows, including:",A. Consistency rules | B. Duplicate identification match rules | C. Match-merge rules | D. Match-split rules | E. Match-link rules | F. All of the above,B; C; E,Duplicate identification match rules; Match-merge rules; Match-link rules,B; C; E,Duplicate identification match rules; Match-merge rules; Match-link rules,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.",1.3.3.4.4.3 Matching Workflows / Reconciliation Types Match rules for different scenarios require different workflows: • Duplicate identification match rules focus on a specific set of data elements that uniquely identify an entity and identify merge opportunities without taking automatic action.,364; 365,345,"123 Main, Dataland, SQ 98765",True
chapter-10-q015,Chapter 10,15,multi-select,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),15,"There are three basic approaches to implementing a Master Data hub environment, including:",A. Transaction hub | B. Distributed hub | C. Registry | D. Consolidated approach | E. Eventual consistency | F. Transparent hub,A; C; D,Transaction hub; Registry; Consolidated approach,A; C; D,Transaction hub; Registry; Consolidated approach,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.",• A Consolidated approach is a hybrid of Registry and Transaction Hub. There are several basic architectural approaches to reference and Master Data integration.,371; 372,349; 350,1.3.4 Data Sharing Architecture,True
chapter-10-q016,Chapter 10,16,multiple-choice,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),16,A Global ID is the MDM solution-assigned and maintained unique identifier attached to reconciled records.,A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.",A Global ID is the MDM solution-assigned and -maintained unique identifier attached to reconciled records. X-Ref Management is management of the relationship between source IDs and the Global ID.,365,345; 346,"123 Main, Dataland, SQ 98765",True
chapter-10-q017,Chapter 10,17,multiple-choice,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),17,Customer relationship management systems manage Master Data about customers.,A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.",Customer Relationship Management (CRM) systems manage Master Data about customers.,366,346,1.3.3.5 Party Master Data,True
chapter-10-q018,Chapter 10,18,multi-select,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),18,Key processing steps for MDM include:,"A. Data model management | B. Data acquisition | C. Data validation, standardization and enrichment | D. Entity resolution | E. Data sharing and stewardship | F. None of the above",A; B; C; D; E,"Data model management; Data acquisition; Data validation, standardization and enrichment; Entity resolution; Data sharing and stewardship",A; B; C; D; E,"Data model management; Data acquisition; Data validation, standardization and enrichment; Entity resolution; Data sharing and stewardship",verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","Figure 76 Key Processing Steps for MDM Data Model Management Data Validation, Standardization, and Enrichment Data Sharing & Stewardship Data Acquisition Entity Resolution They include data model management; data acquisition; data validation, standardization, and enrichment; entity resolution; and stewardship and sharing.",361,341,1.3.3.4 Master Data Management Key Processing Steps,True
chapter-10-q019,Chapter 10,19,multiple-choice,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),19,"In matching, false positives are three references that do not represent the same entity are linked with a single identifier.",A. True | B. False,B,False,B,False,verified,,"The statement is False. The cited DMBOK material defines or describes the concept in a way that does not support the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.",The risks with this process are: • False positives: Two references that do not represent the same entity are linked with a single identifier.,363,343,1.3.3.4.4 Entity Resolution and Identifier Management,True
chapter-10-q020,Chapter 10,20,multiple-choice,Reference and master data,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),20,Product Master data can only focus on an organization’s internal product and services.,A. True | B. False,B,False,B,False,verified,,"The statement is False. The cited DMBOK material defines or describes the concept in a way that does not support the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.",Product Master Data can focus on an organization’s internal products and services or on industry-wide (including competitor) products and services.,367,348,1.3.3.8 Product Master Data,True
chapter-11-q001,Chapter 11,1,multiple-choice,Data warehouse and business intelligence,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),1,Business requirements are an input in the Data Warehouse and Business Intelligence context diagram.,A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.",C H A P T E R 11 Data Warehousing and Business Intelligence Develop the Data Warehouse and Data Marts (D) 4.,382,361; 362,Data warehouse and business intelligence,True
chapter-11-q002,Chapter 11,2,multi-select,Data warehouse and business intelligence,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),2,Primary deliverables of the Data Warehouse and Business Intelligence context diagram include:,A. Data Products | B. Data Stewardship | C. Governance Activities | D. Release Plan | E. Load Tuning Activities | F. BI Activity Monitoring,A; C; D; E; F,Data Products; Governance Activities; Release Plan; Load Tuning Activities; BI Activity Monitoring,A; C; D; E; F,Data Products; Governance Activities; Release Plan; Load Tuning Activities; BI Activity Monitoring,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","Maintain Data Products (O) Inputs: • Business Requirements • Scalability, Operational, Infrastructure & Support Requirements • Data Quality, Security and Access Requirements • IT Strategy • Related IT Policies & Standards • Internal Data Feeds • Master and Reference Data • Industry and External Data Deliverables: • DW and BI Architecture • Data Products •… The primary driver for data warehousing is to support operational functions, compliance requirements, and Business Intelligence (BI) activities (though not all BI activities depend on warehouse data).",382,362; 363,Data warehouse and business intelligence,True
chapter-11-q003,Chapter 11,3,multiple-choice,Data warehouse and business intelligence,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),3,A goal of Data warehouse and business intelligence is to support and enable ineffective business analysis and decision making by knowledge workers.,A. True | B. False,B,False,B,False,verified,,"The statement is False. The cited DMBOK material defines or describes the concept in a way that does not support the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.",To create insights to support and enable effective business analysis and decision making. C H A P T E R 11 Data Warehousing and Business Intelligence,382,361; 362,Data warehouse and business intelligence,True
chapter-11-q004,Chapter 11,4,multi-select,Data warehouse and business intelligence,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),4,The implementation of a Data Warehouse should follow these guiding principles:,A. Managing performance of data assets | B. Focus on the business goals | C. Managing the availability of data throughout the data lifecycle | D. Start with the end in mind | E. Managing the performance of data transactions | F. Collaborate,B; D; F,Focus on the business goals; Start with the end in mind; Collaborate,B; D; F,Focus on the business goals; Start with the end in mind; Collaborate,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.",Organizations implement data warehouses in order to: • Support Business Intelligence activity • Enable effective business analysis and decision-making • Find ways to innovate based on insights from their data The implementation of a Data Warehouse should follow these guiding principles: • Focus on business goals: Make sure DW serves organizational…,383; 384,363,1.2 Goals and Principles,True
chapter-11-q005,Chapter 11,5,multiple-choice,Data warehouse and business intelligence,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),5,The differences between warehouses and operational systems do not include the following element:,A. Time variant | B. Database | C. Subject-orientated | D. Historical,B,Database,B,Database,verified,,"The correct option matches the DMBOK definition, relationship, or classification used on the cited page(s). The distractors either omit a required element, add an unsupported qualifier, or describe a neighboring concept rather than the one asked for.","Source Systems, on the left side of Figure 82, include the operational systems and external data to be brought into the DW/BI environment. Data moves from source systems into a staging area where it may be cleansed and enriched as it is integrated and stored in the DW and/or an ODS.",386,370,1.3.7.1 Source Systems,True
chapter-11-q006,Chapter 11,6,multiple-choice,Data warehouse and business intelligence,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),6,"Data warehousing describes the operational extract, cleaning, transformation, control and load processes that maintain the data in a data warehouse.",A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","Data Warehousing describes the operational extract, cleansing, transformation, control, and load processes that maintain the data in a data warehouse.",385,364,1.3.3 Data Warehousing,True
chapter-11-q007,Chapter 11,7,multiple-choice,Data warehouse and business intelligence,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),7,CIF stands for:,A. Company Information Factory | B. Corporate Information Floor | C. Corporate Information Factories | D. Corporate Information Factory,D,Corporate Information Factory,D,Corporate Information Factory,verified,,"The correct option matches the DMBOK definition, relationship, or classification used on the cited page(s). The distractors either omit a required element, add an unsupported qualifier, or describe a neighboring concept rather than the one asked for.",Bill Inmon’s Corporate Information Factory (CIF) is one of the two primary patterns for data warehousing. Figure 80 The Corporate Information Factory Reference Data DM DM DM DW Op DM ODS App App App App Analysis Historical Reference Data Operational Reports (per App) Operational Reports (integrated) Integration & Transformation Raw Detailed Data Exploratory Analysis Operational Analysis Applications Data Marts,386,365; 367,1.3.5 Corporate Information Factory (Inmon),True
chapter-11-q008,Chapter 11,8,multiple-choice,Data warehouse and business intelligence,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),8,The data in data warehouses and marts differ. Data is organized by subject rather than function.,A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","For example, • The purpose shifts from execution of operational functions to analysis • End users of systems move from front line workers to decision-makers • System usage moves from fixed operations to ad hoc uses • Response time requirements are relaxed (strategic decisions take more time than do daily operations) • Much more data is involved in each… • Subject-oriented: The data warehouse is organized based on major business entities, rather than focusing on a functional or application.",387,365; 367,1.3.5 Corporate Information Factory (Inmon),True
chapter-11-q009,Chapter 11,9,multiple-choice,Data warehouse and business intelligence,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),9,An Operational Data Mart is a data mart focused on tactical decision support.,A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.",• Operational Data Mart (OpDM): An OpDM is a data mart focused on tactical decision support.,387,366,1.3.5 Corporate Information Factory (Inmon),True
