source_group,source_name,source_question,source_record_id,question,source_answer,action,duplicate_of,verification_status,verified_answer,dmbok_2017_pages,dmbok_2024_pages,notes
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,27,dsp3-q027,What is the data source of a Kimball Data Warehouse?,Conformed dimension contents from separate repositories,added,,verified,Conformed dimension contents from separate repositories,391,371,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,28,dsp3-q028,Which of the following activities is NOT necessary to realize a Data Governance program?,Communicate updated policies and procedures to external stakeholders,added,,verified,Communicate updated policies and procedures to external stakeholders,68,90,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,29,dsp3-q029,Which of the following is a tool that can transform sensitive data in a database without affecting its functionality?,Data Masking / Encryption,added,,verified,Data Masking / Encryption,258,247,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,30,dsp3-q030,What is the importance of data lineage analysis?,It explains the state of data at a given point in the data lifecycle,added,,verified,It explains the state of data at a given point in the data lifecycle,107,109,DMBOK2 p. 107 states that data lineage analysis can help explain the state of data at a given point in the data flow.
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,31,dsp3-q031,What kind of software helps transform pick lists and controlled vocabularies into pick lists searchable from the home page?,Content Management,added,,verified,Content Management,311,294,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,32,dsp3-q032,"""Control of contracts dealing with data, such as cloud storage, external data purchase, sales of data as a product, and outsourcing data operations"" describes which driver of Data Governance?",Vendor management,added,,verified,Vendor management,70,72,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,33,dsp3-q033,Master & Reference Data Management are forms of which of the following?,Data Integration,added,,verified,Data Integration,375,355,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,34,dsp3-q034,The Strong-Wang framework describes ______ dimensions across ______ general categories of Data Quality.,"15, 4",added,,verified,"15, 4",455,466,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,35,dsp3-q035,"What is the name for an authoritative system where data is created, captured, and/or maintained through a defined set of rules and expectations?",A system of record,added,,verified,A system of record,358,339,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,36,dsp3-q036,What is the goal of Data Architecture?,To improve the organization’s understanding of their data assets,duplicate,chapter-4-q004,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,37,dsp3-q037,Which of the following is NOT an example of how data can be used to misrepresent facts?,Objectivity,added,,verified,Objectivity,56,59,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,38,dsp3-q038,A Service Based Architecture has these three main components:,"Batch Layer, Speed Layer, Serving Layer",added,,verified,"Batch Layer, Speed Layer, Serving Layer",505,478,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,39,dsp3-q039,A thesaurus is a type of controlled vocabulary used for what purpose?,Content retrieval,added,,verified,Content retrieval,314,297,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,40,dsp3-q040,What is the name for the index that points to Master Data in the various systems of record?,Registry,added,,verified,Registry,369,350,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,41,dsp3-q041,What are the two types of Data Integration processes involved in Data Warehousing?,"Historical Loads, Ongoing Update",duplicate,dsp2-q009,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,42,dsp3-q042,"In the context of Information Technology, which of the following defines data?",Information stored in digital form,added,,verified,Information stored in digital form,18,20,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,43,dsp3-q043,Which of the following is one of the ethical principles for data handling as adapted from the Belmont Principles?,Respect for persons,added,,verified,Respect for persons,52,54,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,44,dsp3-q044,"In past decades, information such as names and addresses might not have been considered data. Why has that changed?",These forms of information can now be analyzed to make business decisions,added,,verified,These forms of information can now be analyzed to make business decisions,19,21,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,45,dsp3-q045,Which of the following is not a factor that determines the ability of an organization to adopt Data Architecture practices?,Ability to put proper structures in place for the implementation of Data Architecture practices,added,,verified,Ability to put proper structures in place for the implementation of Data Architecture practices,119,119,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,46,dsp3-q046,Which of the following data integration architectures involve connecting each source and target system directly to each other without using a central hub?,Point-to-point,added,,verified,Point-to-point,280,267,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,47,dsp3-q047,The Shewhart / Deming cycle is also known as...,Plan-do-check-act,duplicate,chapter-13-q014,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,48,dsp3-q048,Which of the following is NOT a principle guiding online data practices in the United States?,Right to sue against the proliferation of false personal information online,added,,verified,Right to sue against the proliferation of false personal information online,56,58,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,49,dsp3-q049,What are the essential characteristics of high-quality data definitions?,"Clarity, Accuracy, Completeness",duplicate,chapter-5-q012,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,50,dsp3-q050,Data Science used to be called which of the following?,Applied statistics,added,,verified,Applied statistics,501,471,
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,1,dsp3-legacy-q001,What is the importance of Enterprise Data Architecture?,It defines standard terms and designs for the elements that are important to the organization,added,,verified,It defines standard terms and designs for the elements that are important to the organization,104,106,
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,2,dsp3-legacy-q002,What is the end goal of Data Modelling?,Providing for the understanding organizational data,duplicate,dsp3-q002,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,3,dsp3-legacy-q003,Early Big Data was characterized by _______ V's but the number of V's has been expanded to _____,"3, 6",duplicate,dsp3-q003,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,4,dsp3-legacy-q004,What is the purpose of a Data Flow Design diagram?,Shows how data moves through business processes and systems,duplicate,dsp3-q004,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,5,dsp3-legacy-q005,More than _______ of the documents created today are electronic.,90%,duplicate,dsp3-q005,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,6,dsp3-legacy-q006,"The implementation of a Data Warehouse should follow these guiding principles, except:",Ensure business analysts are involved in decision support activities across the enterprise,duplicate,chapter-11-q004,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,7,dsp3-legacy-q007,The first activity to be completed in the implementation of Data Governance is...,Define Data Governance for the organization,added,,verified,Define Data Governance for the organization,79,71,
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,8,dsp3-legacy-q008,Which of the following is used to exchange information within the Semantic Web?,Ontology,duplicate,dsp3-q008,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,9,dsp3-legacy-q009,Master Data Management is...,Challenging,added,,verified,Challenging,360,340,
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,10,dsp3-legacy-q010,Data Management principles include all but one of the following?,Data Management must be done by experts,duplicate,dsp3-q010,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,11,dsp3-legacy-q011,Data created while operational processes are in progress is referred to as...,Business event information,duplicate,dsp3-q011,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,12,dsp3-legacy-q012,What is the importance of Data Governance in Data Management?,It governs how decisions are made about data and how people and processes are expected to behave in relation to data,duplicate,chapter-3-q001,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,13,dsp3-legacy-q013,Basic data profiling involves analysis of the following except:,Correct data flow throughout the organization,duplicate,dsp3-q013,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,14,dsp3-legacy-q014,What does the acronym CIF refer to?,Corporate Information Factory,duplicate,chapter-11-q007,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,15,dsp3-legacy-q015,Which of the following is NOT a function of Data Architects?,Strategize on how to procure data that meets the needs of the organization,duplicate,dsp3-q015,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,16,dsp3-legacy-q016,Two systems that are tightly coupled are characterized by what kind of interface?,Synchronous,duplicate,dsp3-q016,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,17,dsp3-legacy-q017,What is e-discovery?,The process of finding electronic records that might serve as evidence in a legal action,duplicate,chapter-9-q001,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,18,dsp3-legacy-q018,Which among the following can be described as goals of a Master and Reference Data Management program?,"To make sure that the enterprise has complete, current and authoritative master and reference data for their organizational processes. To provide master and reference data across all functions and applications of the enterprise. To reduce the cost and complexity of data usage through common data models.",duplicate,dsp3-q018,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,19,dsp3-legacy-q019,Which data model pattern can be used to construct self-referencing hierarchies?,Elementary Pattern,duplicate,dsp3-q019,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,20,dsp3-legacy-q020,Why is Data Architecture important to Data Management?,Provides for an understanding of an organization's data at different levels of abstraction,added,,verified,Provides for an understanding of an organization's data at different levels of abstraction,98,100,
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,21,dsp3-legacy-q021,Why must all systems handling messages or data packets be able to manage the order of execution of those processes?,To preserve consistency and continuity,duplicate,dsp3-q021,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,22,dsp3-legacy-q022,What is accuracy?,Ensuring data correctly represents 'real-life' entities,duplicate,chapter-13-q006,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,23,dsp3-legacy-q023,Which of the following describes Information Technology (IT) Governance?,"Informs decisions about IT investments, projects, and application portfolios",duplicate,dsp3-q023,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,24,dsp3-legacy-q024,Big Data encompasses...,"Volume, Variety, Speed",duplicate,practice-test-2-q100,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,25,dsp3-legacy-q025,Data is important to organizations in all but one of the following ways:,Organizations sell data to third-parties,duplicate,dsp3-q025,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,26,dsp3-legacy-q026,The understanding of data in terms of economic value is referred to as...,Data asset valuation,duplicate,chapter-3-q015,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,27,dsp3-legacy-q027,What is the data source of a Data Warehouse?,Conformed dimension contents from separate repositories,duplicate,dsp3-q027,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,28,dsp3-legacy-q028,Which of the following is not necessary to realize Data Governance programs?,Communicate updated policies and procedures to external stakeholders,duplicate,dsp3-q028,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,29,dsp3-legacy-q029,High-quality data is a means to...,Organizational success,added,,verified,Organizational success,452,425,
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,30,dsp3-legacy-q030,What is the importance of Data Lineage Analysis to Data Flow?,It explains the state of data at a given point in the data flow,duplicate,dsp3-q030,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,31,dsp3-legacy-q031,What kind of software helps transform pick lists and controlled vocabularies into pick lists searchable from the home page?,Content Management,duplicate,dsp3-q031,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,32,dsp3-legacy-q032,"""Control of contracts dealing with data, such as cloud storage, external data purchase, sales of data as a product, and outsourcing data operations"" describes which driver of Data Governance?",Vendor management,duplicate,dsp3-q032,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,33,dsp3-legacy-q033,Master & Reference Data Management are forms of which of the following?,Data Integration,duplicate,dsp3-q033,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,34,dsp3-legacy-q034,The Strong-Wang framework describes ______ dimensions across ______ general categories of data quality.,"15, 4",duplicate,dsp3-q034,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,35,dsp3-legacy-q035,"What is the name for an authoritative system where data is created, captured, and/or maintained through a defined set of rules and expectations?",A system of record,duplicate,dsp3-q035,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,36,dsp3-legacy-q036,What is the goal of Data Architecture?,To bridge the gap between business strategy and execution,duplicate,chapter-4-q004,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,37,dsp3-legacy-q037,How does Data Modelling and Design help an organization complete initiatives?,Data Modelling confirms and documents understanding of different perspectives,added,,verified,Data Modelling confirms and documents understanding of different perspectives,125,125,
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,38,dsp3-legacy-q038,A Services Based Architecture has these three main components:,"Batch Layer, Speed Layer, Serving Layer",duplicate,dsp3-q038,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,39,dsp3-legacy-q039,A thesaurus is a type of controlled vocabulary used for what purpose?,Content Retrieval,duplicate,dsp3-q039,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,40,dsp3-legacy-q040,What is the name for the index that points to Master Data in the various systems of record?,Registry,duplicate,dsp3-q040,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,41,dsp3-legacy-q041,What are the two types of Data Integration processes involved in Data Warehousing?,"Historical Loads, Ongoing Update",duplicate,dsp2-q009,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,42,dsp3-legacy-q042,"In the context of Information Technology, which of the following defines data?",Information stored in digital form,duplicate,dsp3-q042,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,43,dsp3-legacy-q043,Which of the following is one of the ethical principles for data as adapted from the Belmont Principles?,Respect for persons,duplicate,dsp3-q043,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,44,dsp3-legacy-q044,"In past decades, information such as names and addresses might not have been considered data. Why has that changed?",These forms of information can now be analyzed to make business decisions,duplicate,dsp3-q044,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,45,dsp3-legacy-q045,Which of the following is not a factor that determines the ability of an organization to adopt Data Architecture practices?,Ability to put proper structures in place for the implementation of Data Architecture practices,duplicate,dsp3-q045,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,46,dsp3-legacy-q046,Thomas Redman defines a data item as...,Representable triple,added,,verified,Representable triple,455,467,
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,47,dsp3-legacy-q047,The Shewhart / Deming cycle is also known as...,Plan-do-check-act,duplicate,chapter-13-q014,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,48,dsp3-legacy-q048,Which of the following is NOT a principle guiding online data practices in the United States?,Right to sue against the proliferation of false personal information online,duplicate,dsp3-q048,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,49,dsp3-legacy-q049,What are the essential characteristics of high-quality data definitions?,"Clarity, Accuracy, Completeness",duplicate,chapter-5-q012,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
Data Strategy Professionals Set 3 (legacy),Data Strategy Professionals Question Set #3 Legacy,50,dsp3-legacy-q050,Data Science used to be called which of the following?,Applied Statistics,duplicate,dsp3-q050,superseded_duplicate,,,,Equivalent question retained from the updated Set 3 or from the existing 490-question bank.
DAMA Practice Attempts,DAMA Attempt 1,1,dama-attempt-1-q001,"According to the DAMA DMBOK, the Data Governance Council (DGC) is the highest authority organization for data governance in an organization. Who should typically chair this Council?",Chief Data Steward (Business )/ Chief Data Officer,duplicate,dsp1-q005,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 1,2,dama-attempt-1-q002,How do data management professionals maintain commitment of key stakeholders to the data management initiative?,Continuous communication education and promotion of the importance and value of of data and information assets,added,,verified,Continuous communication education and promotion of the importance and value of of data and information assets,"85, 94","87, 96",
DAMA Practice Attempts,DAMA Attempt 1,3,dama-attempt-1-q003,Which of these is NOT a standard motivation for Data Governance?,Devolved governance,excluded,,excluded_ambiguous,,,,"The source labels “Devolved governance,” but “Decentralized governance” is also not a DMBOK motivation category; the stem does not yield one unambiguous answer."
DAMA Practice Attempts,DAMA Attempt 1,4,dama-attempt-1-q004,Data Governance touch points throughout the project lifecycle are facilitated by this organization.,The Data Governance Office,added,,verified,The Data Governance Office,81,83,
DAMA Practice Attempts,DAMA Attempt 1,5,dama-attempt-1-q005,"Every enterprise is subject to many governmental and industry regulations, many of which regulate how data and information is used and managed. Part of the Data Governance Function is to:",Monitor and ensure that organisations meet any regulatory compliance requirements,added,,verified,Monitor and ensure that organisations meet any regulatory compliance requirements,87,89,
DAMA Practice Attempts,DAMA Attempt 1,6,dama-attempt-1-q006,"When defining your business continuity plan, which of the following should one consider doing?","Consider written policies and procedures, impact mitigating measures, required recovery time and acceptable amount of disruption, the criticality of the documents",added,,verified,"Consider written policies and procedures, impact mitigating measures, required recovery time and acceptable amount of disruption, the criticality of the documents",327,310,
DAMA Practice Attempts,DAMA Attempt 1,7,dama-attempt-1-q007,Which of the following is not a step in the 'document and content management lifecycle'?,Create a content strategy,added,,verified,Create a content strategy,324,307,
DAMA Practice Attempts,DAMA Attempt 1,8,dama-attempt-1-q008,Non value-added information is often not removed because:,"The policies are unclear of what is defined as non-value-added, storage is cheap so there is no cost driver, and it takes more effort to dispose than to keep",added,,verified,"The policies are unclear of what is defined as non-value-added, storage is cheap so there is no cost driver, and it takes more effort to dispose than to keep",328,311,
DAMA Practice Attempts,DAMA Attempt 1,9,dama-attempt-1-q009,A goal of 'Document and Content Management' is to ensure effective and efficient retrieval and use of:,Data and information in unstructured formats,duplicate,chapter-9-q004,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 1,10,dama-attempt-1-q010,Which of these describes activities in the document/record management lifecycle?,"Identification, management of policies, classification, retention, storage, retrieval and circulation, preservation and disposal",added,,verified,"Identification, management of policies, classification, retention, storage, retrieval and circulation, preservation and disposal",316,299,
DAMA Practice Attempts,DAMA Attempt 1,11,dama-attempt-1-q011,What is the difference between cardinality rules and data integrity rules?,"Cardinality rules define the quantity of each entity instance that can participate in a relationship between two entities, and referential integrity rules ensure valid values",added,,verified,"Cardinality rules define the quantity of each entity instance that can participate in a relationship between two entities, and referential integrity rules ensure valid values",130,130,
DAMA Practice Attempts,DAMA Attempt 1,12,dama-attempt-1-q012,In a recursive relationship:,The foreign key must have a role name to avoid attribute duplication,duplicate,dsp1-q020,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 1,13,dama-attempt-1-q013,What are relationship labels?,The verb phrases describing the business rules in each direction between two entities,duplicate,dsp1-q039,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 1,14,dama-attempt-1-q014,Which of these is NOT a type of key found in a data model?,Local key,duplicate,dsp1-q048,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 1,15,dama-attempt-1-q015,The highest level of these data model types is the:,Conceptual model,duplicate,chapter-4-q012,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 1,16,dama-attempt-1-q016,What is Manual Directed Data Quality Correction?,The use of automated cleanse and correction tools with results manually checked before committing outputs,added,,verified,The use of automated cleanse and correction tools with results manually checked before committing outputs,487,459,
DAMA Practice Attempts,DAMA Attempt 1,17,dama-attempt-1-q017,Which of these is a key process in defining data quality business rules?,Separating data that does not meet business needs from data that does,added,,verified,Separating data that does not meet business needs from data that does,454,435,
DAMA Practice Attempts,DAMA Attempt 1,18,dama-attempt-1-q018,A data quality program should limit its scope to:,The data most critical to the enterprise and its customers,added,,verified,The data most critical to the enterprise and its customers,452,427,
DAMA Practice Attempts,DAMA Attempt 1,19,dama-attempt-1-q019,A Data Quality Service Level Agreement (SLA) would normally include which of these?,Respective roles & responsibilities for data quality,added,,verified,Respective roles & responsibilities for data quality,483,449,
DAMA Practice Attempts,DAMA Attempt 1,20,dama-attempt-1-q020,"The Data Quality Management cycle has four stages. Three are Plan, Monitor and Act. What is the fourth stage?",Deploy,excluded,,excluded_source_conflict,,,,"DMBOK uses Plan–Do–Check–Act. The source says Plan–Monitor–Act and offers “Deploy,” so no listed option is DMBOK-correct."
DAMA Practice Attempts,DAMA Attempt 1,21,dama-attempt-1-q021,Stakeholders whose concerns must be addressed in data security management include:,"Clients, Patients, Citizens, Suppliers, or Business Partners",added,,verified,"Clients, Patients, Citizens, Suppliers, or Business Partners",218,209,
DAMA Practice Attempts,DAMA Attempt 1,22,dama-attempt-1-q022,Definition of Data Security Policies should be:,A collaborative effort between Business and IT,added,,verified,A collaborative effort between Business and IT,222,214,
DAMA Practice Attempts,DAMA Attempt 1,23,dama-attempt-1-q023,Which of these statements best defines Data Security Management?,"The planning, development, and execution of security policies and procedures to provide proper authentication, authorization, access, and auditing of data and information assets",added,,verified,"The planning, development, and execution of security policies and procedures to provide proper authentication, authorization, access, and auditing of data and information assets",219,"209, 211",
DAMA Practice Attempts,DAMA Attempt 1,24,dama-attempt-1-q024,How does Data Security contribute to competitive advantage?,"Data Security helps to protect proprietary information and intellectual property, as well as customer and partner information",added,,verified,"Data Security helps to protect proprietary information and intellectual property, as well as customer and partner information",218,210,
DAMA Practice Attempts,DAMA Attempt 1,25,dama-attempt-1-q025,Which of these are increasingly driving legislation for information security and data privacy?,A recognition of Ethical issues in information management,added,,verified,A recognition of Ethical issues in information management,"51, 56","53, 58",
DAMA Practice Attempts,DAMA Attempt 1,26,dama-attempt-1-q026,A data lineage tool enables a user to:,Track the data from source system to a target database; understanding its transformations,added,,verified,Track the data from source system to a target database; understanding its transformations,441,"417, 419",
DAMA Practice Attempts,DAMA Attempt 1,27,dama-attempt-1-q027,"Slice, Dice, Roll-up and Pivot are terms used in what kind of data processing?",OLAP,duplicate,practice-test-2-q072,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 1,28,dama-attempt-1-q028,"In its broadest context, the data warehouse includes:",Any data stores or extracts used to support the delivery for BI purposes,duplicate,dsp1-q023,duplicate,,,,Semantic duplicate of an existing or retained DSP question.
DAMA Practice Attempts,DAMA Attempt 1,29,dama-attempt-1-q029,One of the difficulties when integrating multiple source systems is:,Determining valid links or equivalences between data elements,added,,verified,Determining valid links or equivalences between data elements,396,376,
DAMA Practice Attempts,DAMA Attempt 1,30,dama-attempt-1-q030,Critical to the success of the data warehouse is the ability to explain the data. The DMBOK knowledge area that practices these techniques is:,Metadata Management,added,,verified,Metadata Management,384,363,
DAMA Practice Attempts,DAMA Attempt 1,31,dama-attempt-1-q031,What is a common motivation for Reference and Master Data Management?,The need to improve data quality and data integrity across multiple data sources,added,,verified,The need to improve data quality and data integrity across multiple data sources,349,331,
DAMA Practice Attempts,DAMA Attempt 1,32,dama-attempt-1-q032,Master Data Management:,Controls the definition of business entities,added,,verified,Controls the definition of business entities,359,340,
DAMA Practice Attempts,DAMA Attempt 1,33,dama-attempt-1-q033,Which of these is a valid definition of Reference Data?,Data used to classify or categorize other data,added,,verified,Data used to classify or categorize other data,352,334,
DAMA Practice Attempts,DAMA Attempt 1,34,dama-attempt-1-q034,A common driver for initiating a Reference Data Management program is:,It will improve data quality and facilitate analysis across the organization,added,,verified,It will improve data quality and facilitate analysis across the organization,349,331,
